get_help_by_email,how_to_apply_or_enroll_online,program_name,get_help_in_person,heads_up,page_type,apply_online_call_to_action
,,Jobs Plus,,"<ul>     <li>Jobs Plus is available at 27 NYCHA developments across 10 sites.     </li>     <li>Participants can also enroll in the <a href=""http://opportunitynycha.org/about-financial-empowerment/rent-incentives/"" target=""_blank"">Earned Income Disallowance (EID) program</a> to prevent rent increases once they find a job or get a raise.     </li> </ul>",Program,
,,EarlyLearn NYC Child Care,"<p>     <strong>Visit a center</strong> </p> <p>     Visit an <a href=""https://access.nyc.gov/locations/?programs=6866"" target=""_blank"">EarlyLearn center near</a> you for help in person. </p>","<ul>     <li>If you are receiving Cash Assistance and in an HRA-approved work, education, or training activity you are probably eligible     </li>     <li>Services are available for children with special needs     </li>     <li>Child care options are also available through the EarlyLearn Head Start program (for three and four year olds) and private programs     </li> </ul>",Service,
,,Children with Special Health Care Needs,,,Service,
,,Summer Meals,,"<ul>     <li>No registration, documentation, or ID is required to receive a free breakfast or lunch meal     </li>     <li>For children 18 and under     </li>     <li>Find <a href=""http://www.schoolfoodnyc.org/sch_search/summermeals.aspx"" target=""_blank"">Free Summer Meals locations</a>     </li> </ul>",Program,
,"<ul>     <li>Applications are no longer needed to qualify for free meal benefits.     </li>     <li>Families may be asked to complete a <a href=""https://www.myschoolapps.com/Home/PickDistrict"" target=""_blank"">family income inquiry form</a> to help schools receive funding.     </li> </ul>",SchoolFood,,"<ul>     <li>Families no longer need to fill out applications to qualify for free meal benefits.     </li>     <li>You may be asked to complete a <a href=""https://www.myschoolapps.com/Home/PickDistrict"" target=""_blank"">family income inquiry form</a> to help schools receive funding.     </li> </ul>",Program,
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD website</a>.     </li>     <li>Select ""jobs & internships"" in the category field.     </li>     <li>Enter your borough and neighborhood, or zip code to begin searching.     </li> </ol>",Learn & Earn (formerly the In-School Youth Program),"<p>     <strong>Visit a center</strong><br> </p> <p>     Find a <a href=""https://access.nyc.gov/locations/?programs=8837"" target=""_blank"">center</a> to get help in person. </p>",<ul>     <li>Must have a Social Security Number     </li>     <li>Must be able to work legally in US     </li>     <li>Enroll between September 1 - 30     </li> </ul>,Program,Search online
"<p>     <strong>Email DRIE</strong> </p> <p>     <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page"" target=""_blank"">Email DRIE</a> for more information. </p>",<p>     SCRIE/DRIE online applications are temporarily unavailable while we work on a new and improved application. Please use the forms or walk-in location to apply. </p>,Disability Rent Increase Exemption,"<p>     <strong>Visit DRIE walk-in center</strong> </p> <p>     66 John St, 3rd Flr<br>     New York, NY, 10038<br>     Open Monday - Friday, 8:30 a.m.- 4:30 p.m. </p>","<ul>     <li>Once applied, it takes 10 - 15 days to hear back     </li>     <li>You are not required to file taxes to qualify for DRIE     </li>     <li>You will need to send documents. Never mail your original documents, just copies     </li>     <li>You do not need your landlord's permission to apply     </li>     <li>Apply online, by mail, or in person     </li> </ul>",Program,
,,Child Health Plus and Children's Medicaid,,,Benefit,
,,Family Resource Centers,,"<ul>     <li>Some FRCs offer services in a range of languages, including Spanish, Cantonese, Mandarin, Chinese, French, and Creole     </li>     <li>The Bronx, Brooklyn, Manhattan, and Queens each have two FRCs, and Staten Island has one     </li>     <li>Services can be directed to the parent/caregiver or their child     </li> </ul>",Resource,
"<p>     <strong>Email SCHE</strong> </p> <p>     If you have questions, <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">email SCHE</a> for more information.<br> </p>",,Senior Citizen Homeowners' Exemption,,"<ul>     <li>Applications must be postmarked by March 15th for benefits to begin on July 1st each year     </li>     <li>Requires proof of age, income, and tax deduction     </li>     <li>If your property qualifies for SCHE and the Disabled Homeowners Exemption (DHE), you will only be granted SCHE; you cannot get both     </li>     <li>All owners must be 65 years of age or older, unless the property is owned by spouse or sibling, who doesn't need to meet this age requirement     </li>     <li>         <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">Determine the borough, block, and lot (BBL)</a> for your property     </li> </ul>",Program,
,,Family Assessment Program,,,Program,
,,NYCHA Resident Economic Empowerment and Sustainability,"<p>     <strong>Visit the office</strong> </p> <p>     Visit the REES office at 787 Atlantic Ave., Brooklyn, NY, 11238 to get help in person. </p>",<ul>     <li>REES can help you delay rent increases if your income goes up     </li>     <li>The Brooklyn office has information sessions every Tuesday and Thursday at 8:30 a.m     </li> </ul>,Service,
,"<ul>     <li>To apply for public housing, you must submit an application on the <a href=""https://apply.nycha.info/"" target=""_blank"">NYCHA website</a>.     </li>     <li>After you apply, you will be assigned a case number and put on a waiting list for an eligibility interview.     </li>     <li>Use the <a href=""https://selfserve.nycha.info/eservice_enu/start.swe?SWECmd=Start&amp;SWEHo=selfserve.nycha.info"" target=""_blank"">self-service portal</a> to check your status at any time. You'll need to register and log in.     </li> </ul>",Public Housing,"<p>     <strong>NYCHA Customer Contact Centers are located at:</strong> </p> <p>     <strong><a href=""https://access.nyc.gov/location/customer-contact-center-bronx-manhattan-queens/"" target=""_blank"">Bronx Customer Contact Center</a><br></strong> 478 East Fordham Road (1 Fordham Plaza), 2nd Floor<br>     Bronx, NY 10458 </p> <p>     <strong><a href=""https://access.nyc.gov/location/customer-contact-center-brooklyn-staten-island-queens/"" target=""_blank"">Brooklyn Customer Contact Center</a></strong><br>     787 Atlantic Avenue, 2nd Floor<br>     Brooklyn, NY 11238 </p>","<ul>     <li>Rent is based on your family's income. Most buildings have electricity and gas included in the rent.     </li>     <li>You do not need to be a citizen to apply. However, at least one person who lives with you must be a citizen or have legal immigration status.     </li>     <li>Accessible apartments are available for people with disabilities. Some apartments have been modified and are available for persons with mobility impairments. Other reasonable accommodations can be made as well.     </li>     <li>Affordable housing options are also available through <a href=""http://www1.nyc.gov/site/hpd/renters/find-housing.page"" target=""_blank"">NYC Housing Connect</a> and <a href=""http://www.nychdc.com/pages/Now-Renting.html"" target=""_blank"">NYC Housing Development Corporation</a>     </li> </ul>",Program,Apply online
,,Access-A-Ride,,"<ul>     <li>The price is the same as full fare on public transportation     </li>     <li>AAR may take up to 21 days to process your application after your in-person assessment     </li>     <li>A subscription service is available if you travel to the same places at the same time of day at least once each week     </li>     <li>Some customers require the assistance of a personal care attendant (PCA) who <a href=""http://web.mta.info/nyct/paratran/guide.htm#attendan"" target=""_blank"">performs personal duties</a> that drivers are not allowed to do during travel. Personal care attendants ride for free     </li>     <li>Some AAR customers may request an AAR MetroCard that can be used for four free public transportation rides a day on public buses and trains     </li> </ul>",Program,
,"<ol>     <li>Apply to <a href=""https://application.nycsyep.com/"" target=""_blank"">SYEP online</a> during the application period (February - March). The application for SYEP will only be available during that time.     </li>     <li>Participants are selected by lottery for the program.     </li> </ol>",Summer Youth Employment Program,,<ul>     <li>Apply between February and March each year     </li>     <li>Selection is based on a lottery     </li>     <li>Apply online or at a community-based organization during the application period<br>     </li>     <li>Work is available for youth with disabilities     </li> </ul>,Program,Apply online
"<p>     <strong>Call for an appointment</strong> </p> <p>     Call NYC Health + Hospitals at <a href=""tel:212-423-7292"" target=""_blank""><u>212-423-7292</u></a> to make an appointment. </p>","<p>     To make an appointment, call NYC Health + Hospitals at <a href=""tel:212-423-7292"" target=""_blank""><u>212-423-7292</u></a> or send them an <a href=""mailto:metlgbt.org""><u>email</u></a>. </p>",LGBTQ Health Care Services,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.nychealthandhospitals.org/services/lgbtq-health-care-services/"" target=""_blank""><u>NYC Health + Hospitals LGBTQ Health website</u></a> to learn more. </p>","<ul>     <li>Care is provided to everyone, regardless of your ability to pay or immigration status     </li>     <li>NYC Health + Hospitals can help you find insurance if you need it     </li>     <li>You're free to use the restroom or single sex area that is most aligned with your gender identity or expression     </li>     <li>Youth twelve and older can get private reproductive and sexual health services     </li> </ul>",Service,
,,Family Assessment Program,,,Program,
"<p>     <strong>Email CUNY Fatherhood</strong> </p> <ul>     <li>Kingsborough program: Email <a href=""mailto:kirk.francis.cuny.edu""><u>Kirk Francis</u></a> with questions.     </li>     <li>Hostos program: Email <a href=""mailto:dallen.cuny.edu""><u>Danielle Allen</u></a> with questions.     </li>     <li>LaGuardia program: Email <a href=""mailto:rbrooks.cuny.edu""><u>Raheem Brooks</u></a> for questions.     </li> </ul>","<p>     To apply for the CUNY Fatherhood Academy, fill in the contact form for the college you want to take classes at. A staff member will contact you shortly to let you know when the next orientation session is. </p> <ul>     <li>Apply to <a href=""http://www.hostos.cuny.edu/Administrative-Offices/Division-of-Continuing-Education-Workforce-Develop/CFA/Orientation-Session-Application"" target=""_blank""><u>Hostos Community College</u></a>     </li>     <li>Apply to <a href=""http://www.lagcc.cuny.edu/cunyfatherhood/"" target=""_blank""><u>LaGuardia Community College</u></a>     </li>     <li>Apply to <a href=""http://cewdkbcc.com/current-programs/cuny-fatherhood-academy/application-sessions/"" target=""_blank""><u>Kingsborough Community College</u></a>     </li> </ul>",CUNY Fatherhood Academy,,"<ul>     <li>Students get MetroCards and stipends     </li>     <li>You can take classes at <a href=""http://www.hostos.cuny.edu/Administrative-Offices/Division-of-Continuing-Education-Workforce-Develop/CFA""><u>Hostos Community College</u></a> (Bronx), <a href=""http://www.laguardia.edu/cunyfatherhood/""><u>LaGuardia Community College</u></a> (Queens), or <a href=""http://cewdkbcc.com/cuny-fatherhood-academy-open-house-event/""><u>Kingsborough Community College</u></a> (Brooklyn)     </li>     <li>CFA has two tracks: high school equivalency prep and college prep     </li>     <li>Participants must be NYC residents     </li> </ul>",Program,
